Koh Bulone, Koh Kradan, 11:30 - 12:15, 900, 540, 800, 490
Koh Bulone, Koh Langkawi, 12:35 - 18:00, 2000, 1560, 1700, 1410
Koh Bulone, Koh Lanta, 11:30 - 13:30, 1600, 960, 1350, 860
Koh Bulone, Koh Lipe, 11:30 - 13:30, 600, 360, 500, 310
Koh Bulone, Koh Lipe, 12:35 - 13:30, 600, 360, 500, 310
Koh Bulone, Koh Mook, 11:30 - 12:30, 900, 540, 800, 490
Koh Bulone, Koh Ngai, 11:30 - 12:50, 1050, 630, 950, 580
Koh Bulone, Koh Phi Phi, 11:30 - 15:00, 2300, 1300, 1700, 1200
Koh Bulone, Koh Yao Noi, 11:30 - 16:15, 2800, 1960, 2250, 1660
Koh Bulone, Koh Yao Yai, 11:30 - 16:25, 2800, 1960, 2250, 1660
Koh Bulone, Krabi, 11:30 - 15:35, 2400, 1710, 2100, 1410
Koh Bulone, Phuket, 11:30 - 16:00, 2450, 1700, 2000, 1600
Koh Kradan, Koh Bulone, 11:35 - 12:35, 900, 540, 800, 490
Koh Kradan, Koh Lanta, 10:45 - 12:00, 950, 650, 850, 600
Koh Kradan, Koh Lanta, 12:15 - 13:30, 950, 650, 850, 600
Koh Kradan, Koh Lipe, 11:35 - 13:30, 1400, 840, 1200, 740
Koh Kradan, Koh Mook, 10:45 - 11:00, 300, 180, 250, 150
Koh Kradan, Koh Mook, 12:15 - 12:30, 300, 180, 250, 150
Koh Kradan, Koh Ngai, 10:45 - 11:30, 400, 240, 300, 180
Koh Kradan, Koh Ngai, 12:15 - 12:50, 400, 240, 300, 180
Koh Kradan, Koh Phi Phi, 10:45 - 13:30, 1600, 950, 1300, 750
Koh Kradan, Koh Phi Phi, 12:15 - 15:00, 1600, 950, 1300, 750
Koh Kradan, Koh Yao Noi, 12:15 - 16:15, 2150, 1690, 1750, 1430
Koh Kradan, Koh Yao Yai, 12:15 - 16:25, 2150, 1690, 1750, 1430
